Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides, Type, IFMAP Base Addr, Filter Base Addr, Ofmap Base Addr,
Conv1,227,227,11,11,3,96,4,Conv,-1,-1,-1,
Conv2,31,31,5,5,96,256,1,Conv,-1,-2,-1,
Conv3,15,15,3,3,256,384,1,Conv,-1,-2,-1,
Conv4,15,15,3,3,384,384,1,Conv,-1,-2,-1,
Conv5,15,15,3,3,384,256,1,Conv,-1,-2,-1,
FC1,1,1,1,1,9216,4096,1,Conv,-1,-2,-1,
FC2,1,1,1,1,4096,4096,1,Conv,-1,-2,-1,
FC3,1,1,1,1,4096,1000,1,Conv,-1,-2,-1,
